state,year,same_sex,coef,_se
Louisiana,2011,FALSE,0,0
Louisiana,2012,TRUE,9.900029193609546e-4,9.90646644058957e-4
Louisiana,2013,TRUE,0.00944353552918902,0.00398253594109764
Louisiana,2014,TRUE,0.01261923099710405,0.00547011262531288
Louisiana,2015,TRUE,0.00154335873445693,0.00110966501193673
Louisiana,2016,TRUE,0.00341216216258968,0.00253685251133709
Louisiana,2017,TRUE,0.01264731750220373,0.00580789640181658
Louisiana,2018,TRUE,0.0079096651968423,0.00373335026333565
Louisiana,2019,TRUE,0.01118297663497216,0.00452056308598097
Louisiana,2021,TRUE,0.01684431761626863,0.00694214348072664
Louisiana,2022,TRUE,0.02071335080933672,0.00906476025227521
Maine,2008,TRUE,0.02293751180909743,0.01630084643350408
Maine,2009,TRUE,0.014498006524103,0.0143906734594294
Maine,2010,FALSE,0,0
Maine,2011,TRUE,0.01432038834951457,0.01017152284093834
Maine,2012,FALSE,0,0
Maine,2013,TRUE,0.00163345311989717,0.00164285591976271
Maine,2014,TRUE,0.00817231110432999,0.00817605896823005
Maine,2015,TRUE,0.02145718748188519,0.01680301126644119
Maine,2016,TRUE,0.00924317617892139,0.00549796234079277
Maine,2017,TRUE,0.03783477457980042,0.02292368461588937
Maine,2018,TRUE,0.01720720014435445,0.01547586999505398
Maine,2019,TRUE,0.01838548646132581,0.01108932316954352
Maine,2021,TRUE,0.01412085155186019,0.01001655348570373
Maine,2022,TRUE,0.01031095674825604,0.00732941348923819
Maryland,2008,TRUE,0.00202687333463338,7.758723923659043e-4
Maryland,2009,TRUE,0.00280791582955589,0.00121982143095458
Maryland,2010,TRUE,0.0019641749180373,7.455301188933688e-4
Maryland,2011,TRUE,0.00416840675537332,0.00143283455544614
Maryland,2012,TRUE,0.00333711442210958,0.00102060102286656
Maryland,2013,TRUE,0.0082535934453642,0.0026049663610531
Maryland,2014,TRUE,0.00651688965935359,0.00200835300528564
Maryland,2015,TRUE,0.00479150394150651,0.00127740931939869
Maryland,2016,TRUE,0.0080684154392444,0.00225770892239838
Maryland,2017,TRUE,0.00576223586932608,0.00138067876432238
Maryland,2018,TRUE,0.00771430256212416,0.00161340584620265
Maryland,2019,TRUE,0.00695572474187194,0.00218558092125051
Maryland,2021,TRUE,0.00836497442625142,0.00209507404281373
Maryland,2022,TRUE,0.00828544117853983,0.00186776113398188
Massachusetts,2008,TRUE,0.00757635253919241,0.00151279778714052
Massachusetts,2009,TRUE,0.00311012355992476,0.0010634626801592
Massachusetts,2010,TRUE,0.00508824115179416,0.00129268301653261
Massachusetts,2011,TRUE,0.00586233417285307,0.00161061557036453
Massachusetts,2012,TRUE,0.00591057163057777,0.0013436498661734
Massachusetts,2013,TRUE,0.00732892169153092,0.00147607553248256
Massachusetts,2014,TRUE,0.01067759583752384,0.00195930957967483
Massachusetts,2015,TRUE,0.01332156400025488,0.00274627576382006
Massachusetts,2016,TRUE,0.0107433304325986,0.00188766671778807
Massachusetts,2017,TRUE,0.01223741448945764,0.00190152256923845
Massachusetts,2018,TRUE,0.01349825088829742,0.00277057992690696
Massachusetts,2019,TRUE,0.01130628829554576,0.0017435255313388
Massachusetts,2021,TRUE,0.01386853713725663,0.00217169477124574
Massachusetts,2022,TRUE,0.01592378257564951,0.00242390651665494
Michigan,2008,TRUE,0.00284363691126582,0.00154282415147018
Michigan,2009,TRUE,0.00798958424440972,0.00246279803395842
Michigan,2010,TRUE,0.00292284201606919,0.00111487506911359
Michigan,2011,TRUE,0.00130908874538428,0.00101244185888878
Michigan,2012,TRUE,0.00330517985950731,0.00154621928000111
Michigan,2013,TRUE,0.00375543915087159,0.00138978529331253
Michigan,2014,TRUE,0.00171043554682035,8.602474238880331e-4
Michigan,2015,TRUE,0.00283560349542754,0.00125192829732827
Michigan,2016,TRUE,0.00553333651092149,0.00162463922351848
Michigan,2017,TRUE,0.00531390180039389,0.001731690372543
Michigan,2018,TRUE,0.00796911391947369,0.00194610000023748
Michigan,2019,TRUE,0.00638122428127482,0.00196035665160824
Michigan,2021,TRUE,0.00737543080880309,0.00186374962970484
Michigan,2022,TRUE,0.01199512201090881,0.00498614775962592
Minnesota,2008,TRUE,0.01235364616944781,0.00552634930212551
Minnesota,2009,TRUE,0.01637093561179591,0.00671656536029196
Minnesota,2010,TRUE,0.00962278357428635,0.00344593011745467
Minnesota,2011,TRUE,3.122438638281944e-4,3.124776026400047e-4
Minnesota,2012,TRUE,0.00396934535534645,0.00223581453898344
Minnesota,2013,TRUE,0.00325908980519287,0.00186743721172679
Minnesota,2014,TRUE,0.00381100275674499,0.0016847123959663
Minnesota,2015,TRUE,0.00643920939089048,0.00296630800380995
Minnesota,2016,TRUE,0.00473205122772339,0.00226320004725452
Minnesota,2017,TRUE,0.00552037168186835,0.00257828236611269
Minnesota,2018,TRUE,0.01211308061529162,0.00467702338382256
Minnesota,2019,TRUE,0.00750182269409281,0.00308491371960721
Minnesota,2021,TRUE,0.0108665400113753,0.00380423473581204
Minnesota,2022,TRUE,0.01203371023988163,0.00407298471510062
Mississippi,2008,FALSE,0,0
Mississippi,2009,FALSE,0,0
Mississippi,2010,FALSE,0,0
