bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
Canada,Washington,2011,641,0,53272,15000,2010.4264075692647
Canada,Washington,2012,308,0,45239,15000,2011.4037884538916
Canada,Washington,2013,954,0,46122,15000,2012.4459931622648
Canada,Washington,2014,774,0,42166,15000,2013.3600231127987
Canada,Washington,2015,557,0,44818,15000,2014.475281210943
Canada,Washington,2016,706,65,46491,15000,2015.4737836445274
Canada,Washington,2017,1114,134,46889,15000,2016.4975922526405
Canada,Washington,2018,348,0,43353,15000,2017.4850823729805
Canada,Washington,2019,1079,0,49776,15000,2018.4991384615385
Canada,Alaska,2011,293,0,1312,15000,2010.4264075692647
Canada,Alaska,2012,32,120,1980,15000,2011.4037884538916
Canada,Hawaii,2008,469,0,4177,15000,2007.3851584436422
Canada,Hawaii,2009,425,0,5179,15000,2008.3995349918623
Canada,Hawaii,2010,300,0,3979,15000,2009.4210251046024
Canada,Hawaii,2011,155,0,3738,15000,2010.4264075692647
Canada,Hawaii,2014,134,0,3860,15000,2013.3600231127987
Canada,Hawaii,2015,128,0,3232,15000,2014.475281210943
Canada,Hawaii,2016,641,0,3848,15000,2015.4737836445274
Canada,Hawaii,2017,427,0,6218,15000,2016.4975922526405
Canada,Hawaii,2018,306,62,3974,15000,2017.4850823729805
Canada,Hawaii,2019,1008,0,5488,15000,2018.4991384615385
Canada,District of Columbia,2009,212,0,1706,15000,2008.3995349918623
Canada,District of Columbia,2011,63,0,1529,15000,2010.4264075692647
Canada,District of Columbia,2014,46,0,1983,15000,2013.3600231127987
Canada,District of Columbia,2015,91,0,2565,15000,2014.475281210943
Canada,District of Columbia,2016,167,0,2075,15000,2015.4737836445274
Bermuda,New York,2014,117,0,484,16010,2013
Bermuda,Virginia,2018,89,0,829,16010,2018
Bermuda,Florida,2009,47,0,1256,16010,2009
Bermuda,Florida,2013,215,0,1859,16010,2013
Bermuda,Georgia,2015,222,0,868,16010,2014
Cape Verde,Massachusetts,2009,197,0,24182,16020,2008
Cape Verde,Massachusetts,2010,67,0,19424,16020,2009
Cape Verde,Massachusetts,2012,366,0,23475,16020,2012
Cape Verde,Massachusetts,2013,183,0,22558,16020,2012
Cape Verde,Massachusetts,2014,167,0,25585,16020,2013.3966745843231
Cape Verde,Massachusetts,2016,146,0,30850,16020,2015
Cape Verde,Massachusetts,2017,516,0,35147,16020,2016.3366197183097
Cape Verde,Massachusetts,2018,107,0,25808,16020,2017
Cape Verde,Rhode Island,2014,254,0,7170,16020,2013.3966745843231
Cape Verde,Rhode Island,2017,194,0,7458,16020,2016.3366197183097
Cape Verde,Washington,2016,108,0,132,16020,2015
Mexico,Connecticut,2010,430,0,19537,20000,2009.2768616518617
Mexico,Connecticut,2012,120,0,24765,20000,2011.306430356737
Mexico,Connecticut,2014,517,0,28046,20000,2013.480650100106
