yrimmig,bpld,n_dif_sex,n_same_sex,n_spouse_dif_sex,n_spouse_same_sex,n_partner_dif_sex,n_partner_same_sex,n_spouse_oneimm_dif_sex,n_spouse_oneimm_same_sex,n_partner_oneimm_dif_sex,n_partner_oneimm_same_sex,n_spouse_adj_dif_sex,n_spouse_adj_same_sex,n_partner_adj_dif_sex,n_partner_adj_same_sex,n_spouse_2019_dif_sex,n_spouse_2019_same_sex,n_spouse_pre_2019_dif_sex,n_spouse_pre_2019_same_sex,n_partner_2019_dif_sex,n_partner_2019_same_sex,n_partner_pre_2019_dif_sex,n_partner_pre_2019_same_sex,n_total,n_spouse,n_partner,bpldid,prop_spouse_same_sex_adj,prop_partner_same_sex_adj,prop_same_sex_adj,prop_dif_sex,prop_spouse_same_sex,prop_partner_same_sex,prop_same_sex,prop_same_sex_oneimm
1939,Trinidad and Tobago,0,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,26060,NA,NA,NA,NA,NA,NA,NA,NA
1939,Trinidad and Tobago,0,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Bolivia,2,0,2,0,0,0,0,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,30010,NA,NA,NA,NA,NA,NA,NA,NA
1939,Bolivia,2,0,2,0,0,0,0,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Finland,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,40100,NA,NA,NA,NA,NA,NA,NA,NA
1939,Finland,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Switzerland,1,0,0,0,1,0,0,0,1,0,0,0,0.937,0,0,0,0,0,0,0,1,0,NA,NA,NA,42600,NA,NA,NA,NA,NA,NA,NA,NA
1939,Switzerland,1,0,0,0,1,0,0,0,1,0,0,0,0.937,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Greece,2,0,2,0,0,0,2,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,43300,NA,NA,NA,NA,NA,NA,NA,NA
1939,Greece,2,0,2,0,0,0,2,0,0,0,0.9359999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Austria,5,0,5,0,0,0,3,0,0,0,2.34,0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,45000,NA,NA,NA,NA,NA,NA,NA,NA
1939,Austria,5,0,5,0,0,0,3,0,0,0,2.34,0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Germany,5,0,5,0,0,0,4,0,0,0,2.412,0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,45300,NA,NA,NA,NA,NA,NA,NA,NA
1939,Germany,5,0,5,0,0,0,4,0,0,0,2.412,0,0,0,0,0,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Poland,1,0,1,0,0,0,1,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,45500,NA,NA,NA,NA,NA,NA,NA,NA
1939,Poland,1,0,1,0,0,0,1,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,Romania,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,45600,NA,NA,NA,NA,NA,NA,NA,NA
1939,Romania,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,China,2,0,2,0,0,0,0,0,0,0,1.2429999999999999,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA,NA
1939,Morocco,1,0,1,0,0,0,1,0,0,0,0.775,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,60014,NA,NA,NA,NA,NA,NA,NA,NA
1939,Morocco,1,0,1,0,0,0,1,0,0,0,0.775,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Puerto Rico,4,0,4,0,0,0,4,0,0,0,1.944,0,0,0,0,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Canada,4,0,4,0,0,0,4,0,0,0,1.944,0,0,0,0,0,4,0,0,0,0,0,NA,NA,NA,15000,NA,NA,NA,NA,NA,NA,NA,NA
1940,Mexico,9,0,9,0,0,0,8,0,0,0,4.572,0,0,0,0,0,9,0,0,0,0,0,NA,NA,NA,20000,NA,NA,NA,NA,NA,NA,NA,NA
1940,Mexico,9,0,9,0,0,0,8,0,0,0,4.572,0,0,0,0,0,9,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Cuba,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,25000,NA,NA,NA,NA,NA,NA,NA,NA
1940,Cuba,1,0,1,0,0,0,0,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,England,2,0,2,0,0,0,1,0,0,0,1.315,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,41000,NA,NA,NA,NA,NA,NA,NA,NA
1940,England,2,0,2,0,0,0,1,0,0,0,1.315,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Switzerland,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,42600,NA,NA,NA,NA,NA,NA,NA,NA
1940,Switzerland,1,0,1,0,0,0,0,0,0,0,0.54,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Greece,2,0,2,0,0,0,2,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,43300,NA,NA,NA,NA,NA,NA,NA,NA
1940,Greece,2,0,2,0,0,0,2,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Italy,2,0,2,0,0,0,0,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,43400,NA,NA,NA,NA,NA,NA,NA,NA
1940,Italy,2,0,2,0,0,0,0,0,0,0,1.008,0,0,0,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,Spain,1,0,1,0,0,0,1,0,0,0,0.46799999999999997,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,43800,NA,NA,NA,NA,NA,NA,NA,NA
