bpld,state,year,opp_sex_stock,same_sex_stock,state_stock_year,bpldid,mean_year_immig
Canada,Illinois,2011,8981,279,15838,15000,1982.1395290236378
Canada,Illinois,2012,8548,114,16430,15000,1983.9596279163316
Canada,Illinois,2013,12201,144,19334,15000,1984.4212737325572
Canada,Illinois,2014,11393,132,18830,15000,1984.698210722445
Canada,Illinois,2015,9686,488,16250,15000,1986.923500564161
Canada,Illinois,2016,9085,131,15263,15000,1987.7676053939206
Canada,Illinois,2017,9507,78,17896,15000,1988.3298099521842
Canada,Illinois,2018,11121,411,19222,15000,1989.7514870893606
Canada,Illinois,2019,9958,16,16316,15000,1989.9190372478454
Canada,Indiana,2008,5715,0,8560,15000,1979.7868384579847
Canada,Indiana,2009,5453,0,9865,15000,1980.7787587106436
Canada,Indiana,2010,3346,0,6006,15000,1981.1012328237214
Canada,Indiana,2011,4473,195,6006,15000,1982.1395290236378
Canada,Indiana,2012,3793,100,7388,15000,1983.9596279163316
Canada,Indiana,2013,3851,0,6648,15000,1984.4212737325572
Canada,Indiana,2014,3679,0,5447,15000,1984.698210722445
Canada,Indiana,2015,4360,0,6877,15000,1986.923500564161
Canada,Indiana,2016,3977,0,6008,15000,1987.7676053939206
Canada,Indiana,2017,4456,0,6436,15000,1988.3298099521842
Canada,Indiana,2018,5363,19,8706,15000,1989.7514870893606
Canada,Indiana,2019,4809,0,6755,15000,1989.9190372478454
Canada,Michigan,2008,22916,229,41802,15000,1979.7868384579847
Canada,Michigan,2009,21778,35,36923,15000,1980.7787587106436
Canada,Michigan,2010,20623,208,36972,15000,1981.1012328237214
Canada,Michigan,2011,23028,35,39953,15000,1982.1395290236378
Canada,Michigan,2012,22218,95,39374,15000,1983.9596279163316
Canada,Michigan,2013,28127,314,44084,15000,1984.4212737325572
Canada,Michigan,2014,21207,97,37739,15000,1984.698210722445
Canada,Michigan,2015,22202,289,35367,15000,1986.923500564161
Canada,Michigan,2016,20176,237,36260,15000,1987.7676053939206
Canada,Michigan,2017,20279,329,36607,15000,1988.3298099521842
Canada,Michigan,2018,20121,304,35335,15000,1989.7514870893606
Canada,Michigan,2019,23036,328,36201,15000,1989.9190372478454
Canada,Ohio,2008,8323,0,16203,15000,1979.7868384579847
Canada,Ohio,2009,9815,0,14719,15000,1980.7787587106436
Canada,Ohio,2010,8902,24,14363,15000,1981.1012328237214
Canada,Ohio,2011,9941,246,15368,15000,1982.1395290236378
Canada,Ohio,2012,7641,123,13151,15000,1983.9596279163316
Canada,Ohio,2013,9684,34,15433,15000,1984.4212737325572
Canada,Ohio,2014,8886,22,13218,15000,1984.698210722445
Canada,Ohio,2015,10270,125,16091,15000,1986.923500564161
Canada,Ohio,2016,9209,0,14363,15000,1987.7676053939206
Canada,Ohio,2017,11013,421,17281,15000,1988.3298099521842
Canada,Ohio,2018,10119,0,14751,15000,1989.7514870893606
Canada,Ohio,2019,7224,78,11796,15000,1989.9190372478454
Canada,Wisconsin,2008,5098,0,8091,15000,1979.7868384579847
Canada,Wisconsin,2009,4957,0,8303,15000,1980.7787587106436
Canada,Wisconsin,2010,4124,0,6094,15000,1981.1012328237214
Canada,Wisconsin,2011,2792,0,5899,15000,1982.1395290236378
Canada,Wisconsin,2012,4142,0,5454,15000,1983.9596279163316
Canada,Wisconsin,2013,4448,26,6680,15000,1984.4212737325572
Canada,Wisconsin,2014,4143,0,6853,15000,1984.698210722445
Canada,Wisconsin,2015,5409,140,8838,15000,1986.923500564161
Canada,Wisconsin,2016,4538,193,7676,15000,1987.7676053939206
Canada,Wisconsin,2017,5089,360,8170,15000,1988.3298099521842
Canada,Wisconsin,2018,3850,0,5262,15000,1989.7514870893606
Canada,Wisconsin,2019,3374,0,4497,15000,1989.9190372478454
Canada,Iowa,2008,1191,0,2618,15000,1979.7868384579847
Canada,Iowa,2009,1529,0,2436,15000,1980.7787587106436
Canada,Iowa,2010,1807,0,3487,15000,1981.1012328237214
Canada,Iowa,2011,2074,50,3818,15000,1982.1395290236378
Canada,Iowa,2012,2711,0,5227,15000,1983.9596279163316
Canada,Iowa,2013,2571,0,5450,15000,1984.4212737325572
Canada,Iowa,2014,2120,0,3507,15000,1984.698210722445
Canada,Iowa,2015,1155,0,2539,15000,1986.923500564161
Canada,Iowa,2016,1956,0,2765,15000,1987.7676053939206
Canada,Iowa,2017,931,0,1511,15000,1988.3298099521842
Canada,Iowa,2018,1972,0,2741,15000,1989.7514870893606
Canada,Iowa,2019,2955,0,3988,15000,1989.9190372478454
Canada,Kansas,2008,1968,0,3617,15000,1979.7868384579847
