state,year,same_sex,imm_couple,n,n_unweighted,n_ar,n_unweighted_ar,post_2013,group_fe
Arizona,2013,TRUE,two,420,7,420,7,FALSE,Arizona_TRUE_two
Arizona,2014,FALSE,none,1411886,15520,1411886,15520,TRUE,Arizona_FALSE_none
Arizona,2014,FALSE,one,126731,1228,126731,1228,TRUE,Arizona_FALSE_one
Arizona,2014,FALSE,two,180008,1619,180008,1619,TRUE,Arizona_FALSE_two
Arizona,2014,TRUE,none,23173,280,23173,280,TRUE,Arizona_TRUE_none
Arizona,2014,TRUE,one,1055,12,1055,12,TRUE,Arizona_TRUE_one
Arizona,2014,TRUE,two,265,4,265,4,TRUE,Arizona_TRUE_two
Arizona,2015,FALSE,none,1430008,15151,1430008,15151,TRUE,Arizona_FALSE_none
Arizona,2015,FALSE,one,128528,1231,128528,1231,TRUE,Arizona_FALSE_one
Arizona,2015,FALSE,two,173492,1551,173492,1551,TRUE,Arizona_FALSE_two
Arizona,2015,TRUE,none,29941,325,29941,325,TRUE,Arizona_TRUE_none
Arizona,2015,TRUE,one,1521,20,1521,20,TRUE,Arizona_TRUE_one
Arizona,2015,TRUE,two,479,6,479,6,TRUE,Arizona_TRUE_two
Arizona,2016,FALSE,none,1438866,15488,1438866,15488,TRUE,Arizona_FALSE_none
Arizona,2016,FALSE,one,127880,1201,127880,1201,TRUE,Arizona_FALSE_one
Arizona,2016,FALSE,two,196649,1723,196649,1723,TRUE,Arizona_FALSE_two
Arizona,2016,TRUE,none,26808,277,26808,277,TRUE,Arizona_TRUE_none
Arizona,2016,TRUE,one,2073,19,2073,19,TRUE,Arizona_TRUE_one
Arizona,2016,TRUE,two,1556,14,1556,14,TRUE,Arizona_TRUE_two
Arizona,2017,FALSE,none,1419457,15179,1419457,15179,TRUE,Arizona_FALSE_none
Arizona,2017,FALSE,one,134433,1329,134433,1329,TRUE,Arizona_FALSE_one
Arizona,2017,FALSE,two,189296,1722,189296,1722,TRUE,Arizona_FALSE_two
Arizona,2017,TRUE,none,32249,357,32249,357,TRUE,Arizona_TRUE_none
Arizona,2017,TRUE,one,2959,32,2959,32,TRUE,Arizona_TRUE_one
Arizona,2017,TRUE,two,697,6,697,6,TRUE,Arizona_TRUE_two
Arizona,2018,FALSE,none,1466412,15297,1466412,15297,TRUE,Arizona_FALSE_none
Arizona,2018,FALSE,one,142860,1311,142860,1311,TRUE,Arizona_FALSE_one
Arizona,2018,FALSE,two,197623,1646,197623,1646,TRUE,Arizona_FALSE_two
Arizona,2018,TRUE,none,34106,347,34106,347,TRUE,Arizona_TRUE_none
Arizona,2018,TRUE,one,4020,37,4020,37,TRUE,Arizona_TRUE_one
Arizona,2018,TRUE,two,148,2,148,2,TRUE,Arizona_TRUE_two
Arizona,2019,FALSE,none,1490543,15919,1490543,15919,TRUE,Arizona_FALSE_none
Arizona,2019,FALSE,one,134351,1239,134351,1239,TRUE,Arizona_FALSE_one
Arizona,2019,FALSE,two,193293,1510,193293,1510,TRUE,Arizona_FALSE_two
Arizona,2019,TRUE,none,35962,345,35962,345,TRUE,Arizona_TRUE_none
Arizona,2019,TRUE,one,2674,26,2674,26,TRUE,Arizona_TRUE_one
Arizona,2019,TRUE,two,118,2,118,2,TRUE,Arizona_TRUE_two
Arkansas,2008,FALSE,none,904460,9756,904460,9756,FALSE,Arkansas_FALSE_none
Arkansas,2008,FALSE,one,16888,159,16888,159,FALSE,Arkansas_FALSE_one
Arkansas,2008,FALSE,two,25179,219,25179,219,FALSE,Arkansas_FALSE_two
Arkansas,2008,TRUE,none,4444,47,4444,47,FALSE,Arkansas_TRUE_none
Arkansas,2008,TRUE,one,420,2,420,2,FALSE,Arkansas_TRUE_one
Arkansas,2008,TRUE,two,180,2,180,2,FALSE,Arkansas_TRUE_two
Arkansas,2009,FALSE,none,916124,9757,916124,9757,FALSE,Arkansas_FALSE_none
Arkansas,2009,FALSE,one,17617,166,17617,166,FALSE,Arkansas_FALSE_one
Arkansas,2009,FALSE,two,28859,268,28859,268,FALSE,Arkansas_FALSE_two
Arkansas,2009,TRUE,none,5619,61,5619,61,FALSE,Arkansas_TRUE_none
Arkansas,2009,TRUE,one,0,0,0,0,FALSE,Arkansas_TRUE_one
Arkansas,2009,TRUE,two,0,0,0,0,FALSE,Arkansas_TRUE_two
Arkansas,2010,FALSE,none,892771,9559,892771,9559,FALSE,Arkansas_FALSE_none
Arkansas,2010,FALSE,one,18784,161,18784,161,FALSE,Arkansas_FALSE_one
Arkansas,2010,FALSE,two,24393,201,24393,201,FALSE,Arkansas_FALSE_two
Arkansas,2010,TRUE,none,4890,47,4890,47,FALSE,Arkansas_TRUE_none
Arkansas,2010,TRUE,one,0,0,0,0,FALSE,Arkansas_TRUE_one
Arkansas,2010,TRUE,two,425,2,425,2,FALSE,Arkansas_TRUE_two
Arkansas,2011,FALSE,none,877532,9280,877532,9280,FALSE,Arkansas_FALSE_none
Arkansas,2011,FALSE,one,18411,153,18411,153,FALSE,Arkansas_FALSE_one
Arkansas,2011,FALSE,two,28888,175,28888,175,FALSE,Arkansas_FALSE_two
Arkansas,2011,TRUE,none,2955,43,2955,43,FALSE,Arkansas_TRUE_none
Arkansas,2011,TRUE,one,0,0,0,0,FALSE,Arkansas_TRUE_one
Arkansas,2011,TRUE,two,0,0,0,0,FALSE,Arkansas_TRUE_two
Arkansas,2012,FALSE,none,866449,9172,866449,9172,FALSE,Arkansas_FALSE_none
Arkansas,2012,FALSE,one,17577,163,17577,163,FALSE,Arkansas_FALSE_one
Arkansas,2012,FALSE,two,34989,230,34989,230,FALSE,Arkansas_FALSE_two
Arkansas,2012,TRUE,none,4221,52,4221,52,FALSE,Arkansas_TRUE_none
Arkansas,2012,TRUE,one,129,1,129,1,FALSE,Arkansas_TRUE_one
Arkansas,2012,TRUE,two,0,0,0,0,FALSE,Arkansas_TRUE_two
Arkansas,2013,FALSE,none,858874,9153,858874,9153,FALSE,Arkansas_FALSE_none
Arkansas,2013,FALSE,one,19061,170,19061,170,FALSE,Arkansas_FALSE_one
Arkansas,2013,FALSE,two,35427,239,35427,239,FALSE,Arkansas_FALSE_two
Arkansas,2013,TRUE,none,8992,91,8992,91,FALSE,Arkansas_TRUE_none
Arkansas,2013,TRUE,one,0,0,0,0,FALSE,Arkansas_TRUE_one
Arkansas,2013,TRUE,two,0,0,0,0,FALSE,Arkansas_TRUE_two
Arkansas,2014,FALSE,none,844214,8967,844214,8967,TRUE,Arkansas_FALSE_none
Arkansas,2014,FALSE,one,19665,161,19665,161,TRUE,Arkansas_FALSE_one
Arkansas,2014,FALSE,two,36012,245,36012,245,TRUE,Arkansas_FALSE_two
Arkansas,2014,TRUE,none,7448,90,7448,90,TRUE,Arkansas_TRUE_none
Arkansas,2014,TRUE,one,446,4,446,4,TRUE,Arkansas_TRUE_one
Arkansas,2014,TRUE,two,149,2,149,2,TRUE,Arkansas_TRUE_two
Arkansas,2015,FALSE,none,865849,8901,865849,8901,TRUE,Arkansas_FALSE_none
Arkansas,2015,FALSE,one,20044,181,20044,181,TRUE,Arkansas_FALSE_one
Arkansas,2015,FALSE,two,37274,244,37274,244,TRUE,Arkansas_FALSE_two
Arkansas,2015,TRUE,none,6045,67,6045,67,TRUE,Arkansas_TRUE_none
Arkansas,2015,TRUE,one,154,2,154,2,TRUE,Arkansas_TRUE_one
Arkansas,2015,TRUE,two,0,0,0,0,TRUE,Arkansas_TRUE_two
Arkansas,2016,FALSE,none,847714,8835,847714,8835,TRUE,Arkansas_FALSE_none
