bpld,same_sex,coef,_low,_upp,n_same_sex,n,origin_score
Uganda,TRUE,0.4783405605972551,-0.10696660418658488,1.063647725381095,4,561,-1.5
Ukraine,TRUE,0.4052122041925392,0.2535233672306347,0.5569010411544437,52,12887,1.3
United Arab Emirates,TRUE,0.3913587977457733,-0.375945953024325,1.1586635485158716,1,222,-1.8
"United Kingdom, ns",TRUE,1.9592802038607884,1.6370359719411915,2.281524435780385,248,13219,4.3
Uruguay,TRUE,1.1047806527733086,0.4451325863064647,1.7644287192401527,14,1400,3.1
Uzbekistan,TRUE,0.34051551277844616,0.11998974317594513,0.5610412823809472,12,2429,-1
Venezuela,TRUE,1.4229656463494686,1.121592181035375,1.7243391116635622,140,8856,1.4
Vietnam,TRUE,0.5187956898872933,0.40046766585103266,0.6371237139235539,167,28509,2
Yemen Arab Republic (North),TRUE,0.1542965659123279,-0.1480163040302097,0.45660943585486546,1,985,-1.9
Zambia,TRUE,0.644041779290553,-0.31003137216163207,1.5981149307427382,2,271,-1
Zimbabwe,TRUE,2.3210856484445013,1.019745239634962,3.6224260572540414,20,757,-1.1
